Time;20210518_MCF7_Bmal1_Luc_1
0.0;1909.57
0.166667;1746.42
0.333333;1635.12
0.5;1535.43
0.666667;1445.87
0.833333;1379.38
1.0;1318.95
1.16667;1292.98
1.33333;1244.81
1.5;1212.65
1.66667;1159.33
1.83333;1140.04
2.0;1091.02
2.16667;1065.31
2.33333;1021.73
2.5;994.183
2.66667;956.231
2.83333;922.765
3.0;894.55
3.16667;853.456
3.33333;838.698
3.5;813.354
3.66667;786.439
3.83333;765.798
4.0;742.529
4.16667;729.203
4.33333;707.955
4.5;698.056
4.66667;680.24
4.83333;672.328
5.0;663.113
5.16667;657.161
5.33333;649.517
5.5;651.86
5.66667;636.455
5.83333;640.677
6.0;642.909
6.16667;642.974
6.33333;646.029
6.5;653.787
6.66667;659.412
6.83333;661.129
7.0;664.759
7.16667;674.666
7.33333;691.434
7.5;686.264
7.66667;703.955
7.83333;715.198
8.0;718.791
8.16667;732.692
8.33333;742.482
8.5;755.39
8.66667;767.487
8.83333;789.245
9.0;799.983
9.16667;802.479
9.33333;814.359
9.5;832.973
9.66667;844.913
9.83333;852.823
10.0;870.952
10.1667;884.243
10.3333;900.068
10.5;913.415
10.6667;925.68
10.8333;933.597
11.0;947.87
11.1667;957.129
11.3333;967.695
11.5;983.405
11.6667;989.837
11.8333;1007.82
12.0;1020.2
12.1667;1026.12
12.3333;1050.35
12.5;1050.78
12.6667;1066.98
12.8333;1081.11
13.0;1087.35
13.1667;1099.57
13.3333;1104.92
13.5;1122.48
13.6667;1128.77
13.8333;1139.41
14.0;1157.48
14.1667;1156.53
14.3333;1167.95
14.5;1174.0
14.6667;1190.21
14.8333;1198.69
15.0;1218.19
15.1667;1234.14
15.3333;1247.46
15.5;1260.49
15.6667;1270.53
15.8333;1274.46
16.0;1292.45
16.1667;1303.38
16.3333;1306.27
16.5;1318.17
16.6667;1337.33
16.8333;1349.04
17.0;1364.74
17.1667;1364.45
17.3333;1388.97
17.5;1400.64
17.6667;1407.1
17.8333;1421.04
18.0;1438.08
18.1667;1443.35
18.3333;1450.13
18.5;1475.5
18.6667;1472.5
18.8333;1483.26
19.0;1502.0
19.1667;1505.42
19.3333;1516.85
19.5;1525.44
19.6667;1519.35
19.8333;1538.11
20.0;1541.72
20.1667;1561.6
20.3333;1567.2
